股價日期,代號,名稱,成交張數
2026-03-22,6782,視陽,300
2026-03-22,4958,臻鼎-KY,31568
2026-03-22,7703,銳澤,85
2026-03-22,5475,德宏,3849
2026-03-22,4441,振大環球,58
2026-03-22,3555,博士旺,261
2026-03-22,1503,士電,1795
2026-03-22,2317,鴻海,92926
2026-03-22,3675,德微,862
2026-03-22,6146,耕興,399
2026-03-22,6239,力成,10319
2026-03-22,8016,矽創,1400
2026-03-22,4977,眾達-KY,28336
2026-03-22,1623,大東電,167
2026-03-22,4542,科嶠,2065
2026-03-22,7738,東聯互動,48
2026-03-22,4771,望隼,693
2026-03-22,3006,晶豪科,12293
2026-03-22,6197,佳必琪,4943
2026-03-22,3227,原相,926
2026-03-22,6870,騰雲,101
2026-03-22,5292,華懋,170
2026-03-22,6862,三集瑞-KY,622
2026-03-22,6811,宏碁資訊,76
2026-03-22,3596,智易,1520
2026-03-22,7740,熙特爾-創,468
2026-03-22,6533,晶心科,1459
2026-03-22,5903,全家,27
2026-03-22,6217,中探針,5796
2026-03-22,8271,宇瞻,2243
2026-03-22,3611,鼎翰,43
2026-03-22,2474,可成,5193
2026-03-22,4760,勤凱,423
2026-03-22,2707,晶華,73
2026-03-22,8028,昇陽半導體,8066
2026-03-22,8114,振樺電,686
2026-03-22,2753,八方雲集,306
2026-03-22,3715,定穎投控,65725
2026-03-22,8454,富邦媒,586
2026-03-22,4722,國精化,1845
2026-03-22,3138,耀登,3944
2026-03-22,006208,富邦台50,2316
2026-03-22,3551,世禾,592
2026-03-22,6230,尼得科超眾,206
2026-03-22,3617,碩天,192
2026-03-22,6785,昱展新藥,257
2026-03-22,7556,意德士,51
2026-03-22,6285,啟碁,28519
2026-03-22,2729,瓦城,91
2026-03-22,3147,大綜,253
2026-03-22,6438,迅得,10547
2026-03-22,6890,來億-KY,1069
2026-03-22,0053,元大電子,32
2026-03-22,006204,永豐臺灣加權,15
2026-03-22,6690,安碁資訊,65
2026-03-22,8083,瑞穎,80
2026-03-22,3570,大塚,24
2026-03-22,6762,達亞,5
2026-03-22,8416,實威,3
